,index,title,address,price,lat,long,restaurants,shopping,vibrant,cycling_friendly,car_friendly,historic,quiet,elementary_schools,high_schools,parks,nightlife,groceries,daycares,pedestrian_friendly,cafes,transit_friendly,greenery,condominium_type,year_built,population_2016_,population_variation_between_2011_2016_,population_density_,unemployment_rate_2016_,"less_than_$50,000_(%)","between_$50,000_and_$80,000_(%)","between_$80,000_and_$100,000_(%)","between_$100,000_and_$150,000_(%)","more_than_$150,000_(%)",1-person_households_(%),2-person_households_(%),3-person_households_(%),4-person_households_(%),5-person_or_more_households_(%),couples_without_children_at_home_(%),couples_with_children_at_home_(%),single-parent_families_(%),owners_(%),renters_(%),before_1960_(%),between_1961_and_1980_(%),between_1981_and_1990_(%),between_1991_and_2000_(%),between_2001_and_2010_(%),between_2011_and_2016_(%),single-family_homes_(%),semi-detached_or_row_houses_(%),buildings_with_less_than_5_floors_(%),buildings_with_5_or_more_floors_(%),mobile_homes_(%),university_(%),college_(%),secondary_(high)_school_(%),apprentice_or_trade_school_diploma_(%),no_diploma_(%),non-immigrant_population_(%),immigrant_population_(%),french_(%),english_(%),others_languages_(%),walk_score,rooms,bedrooms,basement_bedroom,bathrooms,powder_rooms,total_area,new_area_from_price,new_area_from_rooms,river_proximity,has_pool,n_parking,has_garage
0,0,Condo for sale,"5050, Rue Bannantyne, apt. 203, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Verdun",409000,45.456079,-73.575949,7.0,8.0,5.0,9.0,6.0,5.0,8.0,10.0,7.0,10,3.0,9.0,9.0,10.0,5.0,8.0,5.0,Divided,2008,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,80.0,8.0,2.0,False,1.0,0.0,1014.0,1014.0,1014.0,False,False,1.0,True
1,1,Condo for sale,"201, Chemin de la Pointe-Sud, apt. 216, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",680000,45.449347,-73.553327,3.0,3.0,1.0,7.0,10.0,0.0,10.0,7.0,0.0,8,0.0,2.0,4.0,3.0,1.0,4.0,5.0,Divided,2006,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,11.0,6.0,3.0,False,2.0,0.0,1249.0,1249.0,1249.0,False,True,2.0,True
2,2,Condo for sale,"8800, Rue Verville, apt. 101, Montréal (Ahuntsic-Cartierville), Neighbourhood Ahuntsic West",283000,45.53658924,-73.64658957,8.0,10.0,5.0,3.0,6.0,2.0,0.0,9.0,7.0,8,4.0,10.0,6.0,8.0,6.0,9.0,4.0,Divided,2007,134245,6,5545,10,49,23,9,11,9,41,27,13,12,7,34,46,20,39,61,37,33,14,6,6,4,9,5,73,13,0,36,16,20,10,17,59,41,65.0,10.0,25.0,72.0,6.0,2.0,False,1.0,0.0,848.0,848.0,848.0,False,False,1.0,True
3,3,Condo for sale,"185, Rue du Séminaire, apt. 605, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",339000,45.490915,-73.560779,10.0,10.0,9.0,9.0,5.0,6.0,7.0,7.0,4.0,10,9.0,10.0,8.0,10.0,10.0,9.0,5.0,Divided,2013,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,70.0,4.0,1.0,False,1.0,0.0,621.0,621.0,621.0,False,True,0.0,True
4,4,Condo for sale,"7075, Rue Bombardier, apt. 108, Montréal (Anjou)",177800,45.606186,-73.588353,6.0,7.0,3.0,4.0,9.0,0.0,6.0,4.0,5.0,8,3.0,9.0,2.0,7.0,4.0,7.0,5.0,Divided,1993,42796,2,3103,10,45,26,10,12,7,38,31,13,12,7,38,41,21,44,56,15,49,16,10,10,1,8,9,65,18,0,25,17,23,14,20,66,34,76.0,8.0,16.0,53.0,6.0,1.0,False,1.0,0.0,586.0,586.0,586.0,False,False,1.0,False
5,6,Condo for sale,"1000, Rue Ottawa, apt. 823, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",365000,45.494718,-73.558671,10.0,10.0,9.0,10.0,5.0,6.0,3.0,9.0,3.0,10,9.0,10.0,9.0,10.0,10.0,10.0,3.0,Divided,2014,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,83.0,3.0,1.0,False,1.0,0.0,464.0,464.0,464.0,False,True,1.0,True
6,11,Condo for sale,"7905, Rue Saint-Hubert, apt. 301, Montréal (Villeray/Saint-Michel/Parc-Extension), Neighbourhood Villeray",389000,45.54565671,-73.62419113,10.0,10.0,8.0,9.0,5.0,5.0,7.0,9.0,8.0,10,6.0,10.0,10.0,10.0,8.0,9.0,5.0,Divided,2010,143853,1,8692,11,58,23,8,8,3,40,29,14,11,7,33,42,25,28,72,49,33,6,4,4,3,3,2,91,4,0,29,14,20,11,26,56,44,57.0,10.0,33.0,85.0,5.0,2.0,False,1.0,0.0,729.0,729.0,729.0,False,False,0.0,False
7,12,Condo for sale,"266, Rue Argyle, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Verdun",429000,45.45288237,-73.56885866,7.0,7.0,5.0,9.0,6.0,5.0,6.0,10.0,3.0,10,4.0,9.0,9.0,10.0,6.0,8.0,6.0,Undivided,1930,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,71.0,7.0,3.0,False,1.0,0.0,1442.0,1442.0,1442.0,False,False,0.0,False
8,13,Condo for sale,"6890, Rue Lacroix, Montréal (Le Sud-Ouest), Neighbourhood Saint-Paul/Émard",139000,45.44806335,-73.60140104,6.0,8.0,4.0,6.0,7.0,3.0,4.0,8.0,4.0,10,3.0,7.0,5.0,7.0,4.0,9.0,7.0,Divided,1955,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,50.0,3.0,1.0,False,1.0,0.0,450.0,450.0,450.0,False,False,0.0,True
9,15,Condo for sale,"240, Rue Lyette, apt. 304, Montréal (LaSalle)",324000,45.430631,-73.665644,5.0,5.0,3.0,8.0,9.0,4.0,8.0,7.0,7.0,10,4.0,6.0,4.0,5.0,4.0,5.0,6.0,Divided,"To be built, New",76853,3,4675,10,48,25,10,11,6,36,30,15,12,6,34,43,23,40,60,25,50,10,7,4,3,4,8,85,4,0,25,17,26,12,20,63,37,42.0,36.0,22.0,31.0,5.0,2.0,False,1.0,0.0,861.0,861.0,861.0,False,False,1.0,True
10,16,Condo for sale,"240, Rue Lyette, apt. 303, Montréal (LaSalle)",251000,45.430631,-73.665644,5.0,5.0,3.0,8.0,9.0,4.0,8.0,7.0,7.0,10,4.0,6.0,4.0,5.0,4.0,5.0,6.0,Divided,"To be built, New",76853,3,4675,10,48,25,10,11,6,36,30,15,12,6,34,43,23,40,60,25,50,10,7,4,3,4,8,85,4,0,25,17,26,12,20,63,37,42.0,36.0,22.0,31.0,4.0,1.0,False,1.0,0.0,552.0,552.0,552.0,False,False,1.0,True
11,17,Condo for sale,"240, Rue Lyette, apt. 302, Montréal (LaSalle)",324000,45.430631,-73.665644,5.0,5.0,3.0,8.0,9.0,4.0,8.0,7.0,7.0,10,4.0,6.0,4.0,5.0,4.0,5.0,6.0,Divided,"To be built, New",76853,3,4675,10,48,25,10,11,6,36,30,15,12,6,34,43,23,40,60,25,50,10,7,4,3,4,8,85,4,0,25,17,26,12,20,63,37,42.0,36.0,22.0,31.0,5.0,2.0,False,1.0,0.0,871.0,871.0,871.0,False,False,1.0,True
12,18,Condo for sale,"240, Rue Lyette, apt. 301, Montréal (LaSalle)",277000,45.430631,-73.665644,5.0,5.0,3.0,8.0,9.0,4.0,8.0,7.0,7.0,10,4.0,6.0,4.0,5.0,4.0,5.0,6.0,Divided,"To be built, New",76853,3,4675,10,48,25,10,11,6,36,30,15,12,6,34,43,23,40,60,25,50,10,7,4,3,4,8,85,4,0,25,17,26,12,20,63,37,42.0,36.0,22.0,31.0,4.0,1.0,False,1.0,0.0,726.0,726.0,726.0,False,False,1.0,True
13,19,Condo for sale,"440, Rue De La Gauchetière Est, apt. 305, Montréal (Ville-Marie), Neighbourhood Central",315000,45.512515,-73.556237,10.0,10.0,10.0,8.0,4.0,7.0,6.0,4.0,5.0,10,10.0,9.0,8.0,10.0,10.0,10.0,6.0,Divided,2013,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,89.0,4.0,1.0,False,1.0,0.0,623.0,623.0,623.0,False,False,0.0,False
14,23,Condo for sale,"1200, Rue Saint-Alexandre, apt. 622, Montréal (Ville-Marie), Neighbourhood Central West",360000,45.50463,-73.566429,10.0,10.0,10.0,6.0,5.0,7.0,3.0,7.0,7.0,10,10.0,10.0,10.0,10.0,10.0,10.0,4.0,Divided,2009,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,98.0,3.0,1.0,False,1.0,0.0,369.0,369.0,369.0,False,False,0.0,False
15,26,Condo for sale,"7700, Rue du Mans, apt. 101, Montréal (Saint-Léonard)",988000,45.58408,-73.584876,7.0,8.0,5.0,3.0,7.0,0.0,4.0,9.0,4.0,8,4.0,9.0,5.0,10.0,6.0,7.0,3.0,Divided,2011,78305,3,5813,11,48,27,9,10,5,30,29,16,15,9,30,49,21,35,65,14,64,8,5,6,2,6,3,83,8,0,22,16,23,14,26,51,49,44.0,22.0,34.0,64.0,12.0,5.0,False,3.0,0.0,2659.0,2659.0,2659.0,False,False,5.0,True
16,28,Condo for sale,"4790, Avenue Victoria, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Côte-des-Neiges",748000,45.48611086,-73.61922813,9.0,9.0,5.0,3.0,8.0,4.0,7.0,9.0,9.0,8,4.0,7.0,8.0,8.0,6.0,9.0,8.0,Divided,1929,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,45.0,11.0,4.0,False,2.0,1.0,1860.0,1860.0,1860.0,False,False,2.0,True
17,30,Condo for sale,"299, Rue de la Rotonde, apt. 204, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",528000,45.47305019,-73.53844783,6.0,5.0,3.0,5.0,10.0,0.0,9.0,1.0,3.0,8,4.0,6.0,2.0,5.0,4.0,6.0,3.0,Divided,2014,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,35.0,5.0,1.0,False,1.0,1.0,1043.0,1043.0,1043.0,True,True,1.0,True
